,player,minutes_played,assists,shots,shots_on_target,yellow_cards,red_cards,team_touches,pressures,tackles,interceptions,blocks,xg,op_xg,xa,shot_creating_actions,goal_creating_actions,passes_completed,passes_attempted,progressive_distance_passed,carries,progressive_distance_carried,dribbles_completed,dribbles_attempted,defensive_pen_area_touches,D3_touches,M3_touches,A3_touches,attacking_pen_area_touches,shot_on_target_blocks,live_ball_touches,players_dribbles_past,carries_total_distance,pass_target,passes_received,miscontrols,possessions_lost,total_distance_passed,short_passes_completed,short_passes_attempted,medium_passes_completed,medium_passes_attempted,long_passes_completed,long_passes_attempted,key_passes,final_third_entry_passes,penalty_area_entry_passes,penalty_area_entry_crosses,progressive_passes,tackles_attempted,tackles_won,D3_tackles,M3_tackles,A3_tackles,dribbler_tackles_completed,dribbler_tackles_attempted,pressure_regains,D3_pressures,M3_pressures,A3_pressures,shot_blocks,errors,live_ball_passes,dead_ball_passes,free_kicks_taken,through_balls,pressured_passes,switch_passes,crosses,corners,ground_passes,low_passes,hight_passes,left_foot_passes,right_foot_passes,head_passes,throw_ins_taken,other_pass_type,passes_to_offside,passes_out_of_play,passes_intercepted,passes_blocked,pass_blocks,fouls,fouls_drawn,offside,penalties_won,penalties_conceded,ball_recoveries,aerials_won,aerials_lost,team_result,date
0,Dominic Calvert-Lewin,90,0,1,1,0,0,34,7,0,0,1,0.0,0.0,0.2,2,0,15,22,2,21,1,0,1,3,4,14,17,7,0,33,0,61,48,23,3,2,241,9,10,3,6,2,2,1,1,1,0,2,0,0,0,0,0,0,0,1,0,3,4,0,0,21,1,0,0,5,1,0,1,10,11,1,3,13,2,0,1,0,0,0,3,1,2,0,1,0,0,5,3,1,L,30/01/2021
1,Richarlison,90,0,4,1,0,0,52,9,1,1,2,0.3,0.3,0.1,3,0,25,33,2,44,6,2,4,2,12,25,21,7,0,52,2,270,58,41,4,3,367,11,12,12,17,1,2,2,1,1,0,2,1,0,1,0,0,0,1,3,1,7,1,0,0,33,0,0,0,10,0,0,0,27,3,3,5,25,1,0,1,0,0,0,1,2,0,3,0,0,0,5,2,4,L,30/01/2021
2,Alex Iwobi,62,0,0,0,0,0,22,4,1,0,0,0.0,0.0,0.0,1,0,15,19,4,22,6,1,1,0,5,16,7,0,0,22,1,161,24,19,0,1,300,5,5,8,10,2,2,0,0,1,0,4,1,1,1,0,0,1,1,3,2,1,1,0,0,19,0,0,0,1,0,1,0,16,0,3,3,16,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,L,30/01/2021
3,Andr� Gomes,28,0,1,0,0,0,37,7,2,0,0,0.0,0.0,0.0,2,0,24,33,3,26,5,0,0,1,7,18,17,2,0,37,0,162,28,25,0,1,430,13,14,8,11,3,7,0,3,1,0,3,2,1,1,0,1,1,1,3,1,4,2,0,0,33,0,0,0,1,2,1,0,21,6,6,9,19,4,0,0,0,2,1,0,0,1,0,0,0,0,9,1,0,L,30/01/2021
4,James Rodr�guez,90,0,1,1,1,0,77,12,0,0,4,0.2,0.2,0.3,2,0,55,66,12,55,7,0,0,0,15,42,29,2,0,67,0,377,68,57,1,2,1230,16,19,23,25,14,18,2,7,4,1,12,0,0,0,0,0,0,0,3,4,2,6,0,0,55,11,3,0,9,4,2,3,43,9,14,57,5,1,2,1,0,1,1,2,4,2,5,3,0,0,4,0,0,L,30/01/2021
5,Gylfi Sigur�sson,90,0,0,0,1,0,72,20,3,1,4,0.0,0.0,0.0,0,0,49,58,2,49,0,1,1,4,21,45,8,0,0,68,1,163,53,49,0,3,1049,16,18,22,23,11,17,0,5,0,0,2,3,1,1,2,0,2,3,3,5,14,1,1,0,54,4,1,0,6,3,0,3,44,7,7,5,51,1,0,0,1,0,1,0,3,4,0,0,0,0,8,1,0,L,30/01/2021
6,Abdoulaye Doucour�,90,0,0,0,0,0,75,9,0,0,3,0.0,0.0,0.2,3,0,61,69,1,52,2,0,0,5,19,42,18,3,0,75,0,215,58,54,1,0,1083,33,35,21,24,7,8,2,3,0,0,1,0,0,0,0,0,0,1,3,5,2,2,2,0,69,0,0,0,9,1,1,0,56,11,2,7,59,0,0,0,0,1,2,1,1,0,0,0,0,0,16,3,0,L,30/01/2021
7,Lucas Digne,90,0,1,0,0,0,94,29,9,0,5,0.0,0.0,0.1,2,0,57,74,6,59,7,0,0,2,33,34,33,1,0,86,0,295,60,54,1,1,1002,30,34,20,25,6,12,2,6,1,0,6,9,4,6,2,1,5,6,7,17,5,7,0,0,66,8,0,0,7,2,7,0,41,13,20,57,3,2,8,1,0,4,0,2,5,3,1,0,0,0,11,4,2,L,30/01/2021
8,Michael Keane,90,0,0,0,1,0,57,14,1,4,2,0.0,0.0,0.0,1,0,38,45,4,32,3,0,0,13,39,19,1,1,0,53,0,228,30,30,0,0,804,10,11,20,22,7,11,0,3,0,0,4,1,1,1,0,0,0,3,5,8,6,0,1,0,41,4,1,0,7,0,0,0,31,3,11,12,27,2,0,0,1,0,1,1,1,2,0,0,0,0,8,9,1,L,30/01/2021
9,Yerry Mina,90,0,3,0,0,0,52,5,1,0,2,0.4,0.4,0.0,1,0,38,40,4,32,1,0,0,13,29,27,4,4,0,51,0,273,40,38,0,0,632,18,18,15,15,3,5,0,2,0,0,4,1,0,1,0,0,1,1,1,4,1,0,2,0,39,1,0,0,1,0,0,0,35,3,2,5,34,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,L,30/01/2021
10,S�amus Coleman,90,0,0,0,0,0,51,8,0,1,1,0.0,0.0,0.0,0,0,38,44,1,34,3,0,1,3,17,23,13,1,0,46,0,89,37,33,0,2,708,15,17,21,23,2,4,0,1,1,0,1,0,0,0,0,0,0,1,1,4,2,2,0,0,39,5,1,0,4,2,3,0,32,5,7,9,30,1,4,0,1,0,0,0,1,1,0,0,0,0,7,1,1,L,30/01/2021
11,Jordan Pickford,90,0,0,0,0,0,34,0,0,0,0,0.0,0.0,0.0,0,0,27,31,0,21,0,0,0,32,34,0,0,0,0,29,0,98,19,19,0,0,895,8,8,1,1,16,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,5,1,0,4,3,0,0,15,0,16,20,4,0,0,7,0,1,0,0,0,0,0,0,0,0,7,0,0,L,30/01/2021
12,Dominic Calvert-Lewin,90,0,5,4,0,0,51,8,1,0,1,1.3,1.3,0.0,1,0,18,31,0,24,3,2,5,4,9,22,23,8,0,51,3,137,62,37,4,4,223,11,15,4,8,1,2,0,1,0,0,0,1,1,0,0,1,1,2,4,0,1,7,1,0,31,0,0,0,16,0,0,0,16,8,7,2,18,1,0,4,1,2,0,4,0,2,0,0,0,0,7,8,7,W,03/02/2021
13,Richarlison,79,0,1,0,0,0,36,8,1,2,3,0.0,0.0,0.0,0,0,18,24,2,24,6,2,3,4,12,19,10,0,0,36,2,256,27,19,0,1,249,12,14,5,7,1,1,0,0,0,0,2,1,1,0,1,0,1,3,1,4,4,0,0,0,24,0,0,0,13,0,0,0,19,1,4,6,15,1,0,0,0,0,2,2,3,0,3,1,0,0,8,2,1,W,03/02/2021
14,Michael Keane,11,0,0,0,0,0,6,0,0,0,1,0.0,0.0,0.0,0,0,4,5,0,4,0,0,0,1,5,2,0,0,0,6,0,25,4,4,0,0,108,0,0,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,1,0,0,0,3,1,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,W,03/02/2021
15,Alex Iwobi,86,0,1,0,0,0,39,8,2,2,0,0.0,0.0,0.1,3,0,20,25,2,25,2,0,1,0,6,18,19,2,0,39,0,176,38,27,4,1,379,9,10,8,9,3,5,1,2,0,0,2,2,1,1,1,0,1,1,3,5,2,1,0,0,25,0,0,0,9,2,3,0,20,1,4,5,19,1,0,0,0,0,1,1,0,1,3,0,0,0,5,0,1,W,03/02/2021
16,Joshua King,4,0,0,0,0,0,7,4,1,0,0,0.0,0.0,0.0,0,0,2,3,0,3,0,0,0,0,3,3,2,0,0,7,0,0,7,2,0,3,13,2,3,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,2,1,2,1,0,0,3,0,0,0,2,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,W,03/02/2021
17,Gylfi Sigur�sson,88,0,2,2,0,0,36,10,0,1,1,0.4,0.4,0.2,1,0,21,26,1,18,1,1,1,0,3,19,18,3,0,32,1,74,31,23,1,3,347,10,10,7,9,3,5,1,1,0,0,1,0,0,0,0,0,0,0,0,2,5,3,0,0,22,4,1,0,8,0,2,1,15,5,6,6,18,2,0,0,0,0,1,1,1,1,1,0,0,0,6,0,0,W,03/02/2021
18,Tom Davies,2,0,0,0,0,0,2,2,0,0,0,0.0,0.0,0.0,0,0,1,2,0,2,0,0,0,0,0,2,0,0,0,2,0,13,2,2,0,0,15,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,03/02/2021
19,Andr� Gomes,90,0,0,0,0,0,41,11,0,1,4,0.0,0.0,0.0,2,1,31,33,5,29,1,4,4,1,14,26,6,1,0,41,4,211,26,25,1,0,586,15,16,12,13,4,4,1,4,2,0,5,0,0,0,0,0,0,1,1,8,3,0,1,0,33,0,0,0,13,0,0,0,27,3,3,5,26,1,0,0,0,0,1,0,3,0,1,0,0,0,10,1,0,W,03/02/2021
20,Abdoulaye Doucour�,90,0,0,0,0,0,49,15,3,1,2,0.0,0.0,0.5,3,0,34,41,4,31,6,2,3,5,17,32,9,1,0,49,2,279,32,29,0,0,577,14,16,15,17,4,6,2,2,2,0,4,3,2,0,3,0,1,1,8,3,9,3,0,0,41,0,0,1,17,0,0,0,34,2,5,9,29,2,0,0,0,0,1,1,2,0,0,0,0,0,12,1,0,W,03/02/2021
21,Lucas Digne,90,1,0,0,0,0,57,15,7,1,3,0.0,0.0,0.4,2,1,28,40,0,24,1,0,0,5,16,24,17,0,0,40,0,92,29,22,1,2,499,16,18,7,11,4,9,1,0,1,1,0,7,4,5,2,0,3,4,5,8,6,1,0,0,23,17,4,0,7,1,3,0,18,12,10,25,2,0,13,0,0,3,2,1,3,1,1,0,0,0,1,3,2,W,03/02/2021
22,Ben Godfrey,90,1,1,0,1,0,47,6,2,1,3,0.2,0.2,0.0,1,1,25,30,2,21,7,0,0,10,24,22,4,2,0,47,0,187,22,20,1,1,571,6,7,14,17,5,6,0,5,0,0,2,2,1,2,0,0,1,1,2,4,1,1,1,0,30,0,0,0,10,0,0,0,20,1,9,4,19,4,0,0,0,1,0,0,2,1,0,0,0,0,11,4,0,W,03/02/2021
23,Yerry Mina,90,0,0,0,0,0,44,10,1,0,1,0.0,0.0,0.0,0,0,23,29,2,23,4,0,0,11,31,23,2,0,0,44,0,262,28,24,0,1,330,9,9,11,13,0,4,0,1,0,0,2,1,1,1,0,0,0,0,2,8,1,1,0,0,29,0,0,0,9,0,0,0,23,2,4,8,19,2,0,0,0,1,0,0,1,5,0,0,0,0,6,4,3,W,03/02/2021
24,Mason Holgate,90,0,0,0,1,0,53,14,6,1,3,0.0,0.0,0.0,1,0,20,36,3,22,1,0,1,3,21,22,11,0,0,43,0,86,20,20,1,3,544,4,5,11,18,5,10,0,2,1,0,3,6,4,3,1,2,3,6,6,7,4,3,0,0,26,10,2,0,10,2,1,0,18,3,15,3,23,2,8,0,0,0,1,3,3,1,3,0,0,0,12,1,0,W,03/02/2021
25,Robin Olsen,90,0,0,0,1,0,37,0,0,0,0,0.0,0.0,0.0,0,0,23,32,0,10,0,0,0,29,37,0,0,0,0,22,0,42,14,14,0,0,1031,2,2,6,6,15,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,15,5,0,3,2,0,0,9,0,23,5,24,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,W,03/02/2021
26,Richarlison,90,0,2,0,0,0,22,21,1,0,1,0.1,0.1,0.0,0,0,9,15,2,20,5,2,4,1,2,13,13,4,0,22,2,196,34,15,0,2,141,6,8,3,5,0,1,0,0,1,0,2,1,1,0,1,0,0,1,4,6,10,5,0,0,15,0,0,0,3,0,3,0,10,3,2,3,11,1,0,0,0,1,1,1,1,2,0,1,0,0,5,0,1,D,06/02/2021
27,Dominic Calvert-Lewin,90,0,1,1,0,0,34,19,1,0,2,0.3,0.3,0.1,2,0,15,22,1,14,3,0,0,3,5,15,16,6,0,34,0,85,46,26,4,1,227,7,11,6,8,1,2,1,1,0,0,1,1,1,0,1,0,0,0,4,4,11,4,0,0,22,0,0,0,10,1,1,0,13,7,2,1,16,1,0,1,1,1,1,1,2,0,1,1,0,0,2,3,4,D,06/02/2021
28,James Rodríguez,68,0,1,1,0,0,48,17,0,0,1,0.1,0.1,0.0,0,0,28,37,3,30,1,0,2,1,11,28,10,1,0,44,0,93,41,34,2,1,418,16,19,9,9,3,7,0,1,1,0,3,0,0,0,0,0,0,3,2,5,8,4,0,0,33,4,0,0,6,0,1,1,29,4,4,34,1,2,0,0,0,2,0,2,1,2,5,0,0,0,8,0,3,D,06/02/2021
29,Gylfi Sigurðsson,22,0,0,0,0,0,13,9,0,0,1,0.0,0.0,0.0,0,0,10,12,0,6,0,0,0,0,5,5,4,0,0,10,0,35,13,7,0,0,207,6,6,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,3,1,7,1,0,0,9,3,2,0,2,2,2,0,7,3,2,3,8,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,D,06/02/2021
30,André Gomes,90,0,0,0,0,0,53,26,5,3,1,0.0,0.0,0.0,1,0,40,46,5,35,2,1,1,1,24,26,7,0,0,52,1,141,40,36,0,1,779,17,20,16,17,6,8,1,5,1,0,5,5,4,5,0,0,2,7,10,15,10,1,0,0,45,1,1,0,9,0,0,0,35,5,6,10,34,1,0,0,0,0,1,0,1,1,0,0,0,0,8,1,2,D,06/02/2021
31,Abdoulaye Doucouré,80,1,1,1,0,0,33,26,1,1,2,0.5,0.5,0.1,1,1,20,25,1,19,2,0,0,2,17,13,5,2,0,33,0,132,27,19,0,2,330,10,11,7,7,2,2,1,2,0,0,1,1,1,1,0,0,0,0,8,15,10,1,0,0,25,0,0,0,5,0,1,0,21,3,1,5,18,2,0,0,0,0,0,3,2,0,1,0,0,0,8,0,1,D,06/02/2021
32,Joshua King,10,0,0,0,0,0,10,3,0,0,0,0.0,0.0,0.0,0,0,4,6,1,11,4,2,2,0,0,9,5,0,0,10,2,68,10,9,0,3,67,1,3,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,1,0,0,6,0,0,0,0,0,0,0,5,1,0,0,5,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,D,06/02/2021
33,Tom Davies,74,0,0,0,0,0,43,19,4,2,2,0.0,0.0,0.0,1,1,29,31,4,19,2,0,0,7,25,18,2,0,0,42,0,115,25,25,0,0,617,12,12,9,9,7,8,0,4,1,0,4,4,4,4,0,0,2,2,7,11,7,1,1,0,30,1,1,1,6,0,0,0,24,2,5,6,23,2,0,0,0,0,0,1,1,3,0,0,0,0,4,0,1,D,06/02/2021
34,Alex Iwobi,16,0,0,0,0,0,6,4,0,0,1,0.0,0.0,0.0,0,0,1,2,0,4,0,0,1,0,1,4,1,1,0,6,0,3,5,3,1,1,17,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,2,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,D,06/02/2021
35,Lucas Digne,90,0,1,0,0,0,63,15,0,0,2,0.0,0.0,0.0,3,2,44,58,5,23,1,0,0,2,13,27,24,3,0,47,0,66,46,37,0,1,822,21,22,19,24,4,8,0,1,0,0,5,0,0,0,0,0,0,1,8,7,4,4,0,0,42,16,2,0,5,1,4,0,25,16,17,35,5,4,14,0,1,0,2,4,2,2,1,0,0,0,6,0,0,D,06/02/2021
36,Ben Godfrey,90,0,0,0,0,0,50,11,1,0,1,0.0,0.0,0.0,0,0,41,44,0,30,0,0,0,8,35,17,1,1,0,49,0,136,37,35,0,0,978,6,8,27,27,8,9,0,3,0,0,0,1,1,1,0,0,0,0,6,7,3,1,0,0,43,1,1,0,4,1,0,0,38,3,3,5,38,0,0,0,0,0,1,0,1,1,1,0,0,0,7,2,1,D,06/02/2021
37,Michael Keane,90,1,0,0,1,0,66,11,3,2,3,0.0,0.0,0.3,1,1,41,50,1,29,0,0,0,18,51,19,2,2,0,62,0,145,42,42,0,0,944,9,12,23,23,8,13,1,1,0,0,1,3,2,3,0,0,2,3,3,10,1,0,2,0,46,4,4,0,4,2,0,0,40,4,6,9,38,1,0,0,0,2,1,2,1,1,0,0,0,0,3,4,1,D,06/02/2021
38,Mason Holgate,90,0,0,0,0,0,60,19,2,3,4,0.0,0.0,0.0,0,0,31,43,3,32,3,1,1,5,32,22,6,0,0,54,1,160,32,29,1,0,632,13,16,13,16,5,9,0,1,1,0,3,2,2,2,0,0,1,5,8,14,4,1,0,0,37,6,0,0,10,2,0,0,30,4,9,8,29,0,6,0,1,2,2,3,4,1,5,0,0,0,10,0,1,D,06/02/2021
39,Robin Olsen,90,0,0,0,0,0,35,0,0,0,0,0.0,0.0,0.0,0,0,24,32,0,12,0,0,0,29,35,0,0,0,0,25,0,69,20,20,0,0,761,5,5,11,11,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,10,3,0,5,1,0,0,16,1,15,1,28,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,D,06/02/2021
40,Richarlison,90,0,0,0,0,0,17,5,1,0,1,0.0,0.0,0.0,0,0,9,13,0,8,2,0,0,2,3,11,5,1,0,14,0,59,31,8,0,0,161,4,7,4,4,1,1,0,1,0,0,0,1,1,1,0,0,0,0,3,1,0,4,0,0,10,3,0,0,2,0,0,0,11,1,1,1,10,0,0,1,0,0,0,1,1,0,0,2,0,0,2,1,3,L,14/02/2021
41,James Rodr�guez,67,0,0,0,0,0,39,4,2,2,0,0.0,0.0,0.0,3,0,26,33,2,30,1,2,2,2,11,23,6,0,0,37,2,83,27,24,0,0,400,14,16,8,8,2,5,1,3,0,0,2,2,2,0,2,0,1,1,2,1,3,0,0,0,31,2,2,0,8,1,1,0,24,5,4,29,3,1,0,0,0,0,1,3,0,0,2,0,0,0,8,0,0,L,14/02/2021
42,Bernard,23,0,0,0,0,0,15,2,0,0,0,0.0,0.0,0.1,1,0,10,12,1,12,1,0,0,0,0,4,12,1,0,15,0,39,19,14,1,0,171,5,7,4,4,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,2,0,0,0,12,0,0,0,0,0,1,0,10,1,1,1,11,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,L,14/02/2021
43,Gylfi Sigur�sson,90,0,3,1,0,0,45,6,1,1,3,0.2,0.2,0.0,1,0,26,33,1,28,2,0,1,3,11,22,14,2,0,40,0,72,40,30,0,2,554,8,10,11,12,6,10,1,3,0,0,1,1,0,0,1,0,0,1,0,0,4,2,0,0,28,5,1,0,1,2,1,4,22,5,6,3,30,0,0,0,0,0,1,0,3,1,0,0,0,0,4,0,0,L,14/02/2021
44,Andr� Gomes,90,0,1,0,0,0,70,13,4,1,1,0.0,0.0,0.0,1,0,48,57,5,57,3,1,2,5,19,40,12,0,0,69,1,197,54,49,0,3,1006,15,18,26,26,6,11,0,8,0,0,5,4,3,2,2,0,1,1,7,7,3,3,0,0,56,1,0,0,3,1,1,0,42,6,9,20,34,1,1,0,1,0,3,0,1,1,3,0,0,0,12,1,2,L,14/02/2021
45,Abdoulaye Doucour�,90,0,0,0,0,0,40,6,4,0,1,0.0,0.0,0.0,1,0,28,30,0,29,2,0,0,3,17,17,7,0,0,40,0,95,38,30,2,1,556,10,11,12,12,5,6,0,0,0,0,0,4,2,3,0,1,1,2,1,3,3,0,1,0,29,1,1,0,5,1,0,0,24,4,2,2,25,1,0,1,0,0,0,0,0,1,2,0,0,0,4,1,0,L,14/02/2021
46,Tom Davies,55,0,0,0,0,0,37,6,0,1,1,0.0,0.0,0.0,0,0,23,30,3,26,2,0,0,4,16,18,3,0,0,37,0,87,34,30,0,1,516,3,4,16,20,4,6,0,1,0,0,3,0,0,0,0,0,0,3,0,2,3,1,1,0,30,0,0,0,2,0,0,0,21,2,7,4,24,1,0,0,0,1,3,0,0,1,3,0,0,0,2,1,1,L,14/02/2021
47,Joshua King,35,0,0,0,0,0,4,3,0,0,0,0.0,0.0,0.0,0,0,1,1,0,4,0,0,1,0,0,2,2,1,0,4,1,6,7,3,1,1,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,L,14/02/2021
48,Lucas Digne,90,0,0,0,0,0,81,8,0,0,4,0.0,0.0,0.0,0,0,50,74,2,49,3,0,0,1,13,45,25,0,0,67,0,127,55,50,2,0,943,17,22,30,38,2,7,0,3,0,0,2,0,0,0,0,0,0,0,2,1,5,2,0,0,59,15,6,0,10,0,3,1,40,20,14,57,2,5,8,0,1,2,3,5,4,1,4,0,0,0,10,2,1,L,14/02/2021
49,Mason Holgate,90,0,0,0,0,0,107,7,8,2,1,0.0,0.0,0.0,1,0,77,93,1,73,2,0,0,11,56,37,16,1,0,99,0,177,73,73,0,1,1832,15,18,44,52,18,23,1,1,2,2,1,8,4,6,1,1,2,2,2,4,2,1,0,0,84,9,2,0,5,5,6,0,68,12,13,15,65,3,7,0,0,2,3,1,1,0,1,0,0,0,10,3,0,L,14/02/2021
50,Ben Godfrey,90,0,1,0,0,0,96,3,1,1,1,0.0,0.0,0.0,0,0,82,89,5,76,3,0,0,12,63,43,3,1,0,95,0,448,80,80,0,0,1804,14,14,53,54,12,17,0,2,0,0,5,1,0,1,0,0,0,0,1,3,0,0,1,0,88,1,1,0,7,1,0,0,77,4,8,4,82,1,0,1,0,1,1,1,0,0,0,0,0,0,8,3,1,L,14/02/2021
